Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location,
React Native Mobile & Web App for E-Learning Company,Mobile App Development,"$200,000 to $999,999",Feb. 2017 - Ongoing ,"Sidebench created a mobile app for iOS and Android and an accompanying web app using React Native and React respectively. Key features include time tracking/approval, PDF exports, and a social feed.",MIchael Kadisha,"CEO, Treedom House",Education,1-10 Employees,"Los Angeles, California",
Mobile App Dev for Drone,Mobile App Development,"$50,000 to $199,999",Dec. 2016 - Aug. 2017,Sidebench designed and built the first version of a unique drone companion app for iOS and Android. The team continues to make enhancements for future versions. They also assist with testing and distribution.,None,"Head of Technology, IoT Company",IT Services,1-10 Employees,"Sydney, Australia",
Melody,Mobile App Development,"$50,000 to $199,999",None,"Sidebench provided technology, product development, branding, and marketing for a mobile app. They first created a POC, then developed the first wireframes. Their work includes design and backend development.",Gregg Colvin,"Co-Founder, Melody",Information Technology ,1-10 Employees,"Santa Monica, California",
Android App Redesign for Crowdsolving Platform,Mobile App Development,"$10,000 to $49,999",Nov. 2016 - Jan. 2016,"Using the iOS version as a guideline, Sidebench took the 2.0 version of an Android app rewrote, refactored, and debugged the native codeto build the 3.0 Android version of this platform.",Jeff Kunzelman,"VP Product & Engineering, POPin Inc.",Information Technology ,11-50 Employees,"Orange County, California",
Web & Mobile App Dev for Online Retail e-Commerce Platform,Mobile App Development,"$1,000,000 - $9,999,999",Jan. 2014 - Ongoing,"Hidden Brains led development for an international shopping platform with varying currency, including iOS and Android apps, web apps, and various browser plugins. They also integrated a fraud alert system.",None,"Founder, Online Retail Platform",Retail,51-200 Employees,"San Francisco, California",
iOS/Android App Development for Startup ,Mobile App Development,Confidential,Jun. 2016 - Ongoing,Hidden Brains Infotech built a complicated startup fundraising app on iOS and Android. They provided vital advice to make the app better for users and easier to maintain at a lower cost.,None,"Co-Founder and CEO, SimpleFund",Information Technology and Services ,1-10 Employees,"Buffalo, New York",
Development Initiatives for Financial Social Network,Custom Software Development,"$50,000 to $199,999",Oct. 2015 - Ongoing,"Hidden Brains is building a startup's core product on desktop, iOS and Android. They work on a huge variety of development projects that pop up using many different programming languages.",None,"CEO, Financial Social Network",Social,11-50 Employees,New York City Metro Area,
App Dev for Car Company ,Mobile App Development,Confidential,2013 - 2017,"Hidden Brains developed a classified ads app to connect buyers and sellers in the car sales, insurance, and related products space. The technologies used included Apache HTTP Server, Linux, PHP, and MySQL. ",None,"Owner, Car Company",Automotive,11-50 Employees,Mexico,
Affiliate Program Website Development for Marketing Company,Web Development,"$50,000 to $199,999",Jun. 2016 - Ongoing,Hidden Brains InfoTech designed and developeda complex marketing platform that requireddifferent phases of work and technological expertise. They are currently working on phase three.,None,"CEO, Marketing Company",Advertising and Marketing,1-10 Employees,Toronto Metro Area,
Dev for On-Demand Real Estate App ,Mobile App Development,"Less than $10,000",Nov. 2016 - Ongoing ,"In search of capable developers to help build an app (iOS/Android), which connects real estate agents with contractors, an entrepreneur outsourced specific action items to Hidden Brains.",None,"CEO and Co-Founder, Real Estate App",Technology ,1-10 Employees,"Virginia Beach, Virginia ",
Website and Application Development for Game Manufacturer,Development,"$10,000 to $49,999",Dec. 2016 - Ongoing,Hidden Brains InfoTech built an iOS application for a gaming company and then was tasked with doing design and integrations with their eCommerce website.,None,"Owner, Game Manufacturer",Gaming,2-10 Employees,"Buffalo, New York",
Mobile App Development For Digital Marketing Company,Mobile App Development,"Less than $10,000",Nov. 2015 - Ongoing,"Hidden Brains InfoTech provides supplementary app development resources. They build iOS and Android apps, provide UI designs and branding guides, andmanage development timelines and requirements.",Luke Hart,"Director, STORM Advertising and Digital Media",Advertising & Marketing,1-10 Employees,"London, United Kingdom",
Web Development For Startup Legal Encyclopedia,Development,"Less than $10,000",Nov. 2015 - Jan. 2016,Hidden Brains InfoTech used WordPress tobuild a mobile-friendly legal encyclopedia. The site is composed of a homepage anda database of articles with citations and footnotes.,None,"Founder, Legal Encyclopedia and Research Site",Legal,1-10 Employees,None,
Web Development For Startup Social Network,Web Development,"Less than $10,000",Aug. 2015 - Ongoing,"Hidden Brains InfoTech built a website for a platform that allows businesses to collect digital marketing data. The site ia responsive andmobile-friendly, and integrates e-commerce features.",Daniel Jadick,"Owner, Marketing Website",Marketing and Advertising,1-10 Employees,"Soquel, California",
Mobile App Dev for Personal Robot Product,Mobile App Development,Confidential,Jan. 2016 - Ongoing,"Although Netguru was originally contacted to serve as a temporary development team, theyve continued their involvement, assisting with app development for Android and iOS as well as intensive QA testing.",None,"VP of Product, Personal Robot Product",Consumer Electronics,51-200 Employees,Israel,
Outsourced MVP Dev for Business Services Startup,Custom Software Development,Confidential,Apr. 2017 - Ongoing,Netguru developed an MVP from scratch before using it to build other customized products. Incremental enhancements and retroactive bug fixes remain the top priority.,Niall McManus,"Founder, Kuingia",Information Technology,1-10 Employees,"Kilkenny, Ireland",
Outsourced Dev for Hospitality Startup,Custom Software Development,Confidential,Apr. 2016 - Ongoing,"Netguru augments a remote team, acting as the tech lead for Ruby development. They identifiedconcerns, began site supervision, and continue now also produce new platform features.",None,Co-Founder,Business Services,1-10 Employees,"London, England",
Integrated Platform Dev for Healthcare Tech Firm,Custom Software Development,Confidential,Aug. 2016 - Ongoing,"Netguru developed Android and iOS mobile applications for a tech healthcare organization. The small team built the MVP within six months, which included features such as GPS and scheduling options.",Steve Dailey,"Co-Founder, Helpr",Information Technology,11-50 Employees,"London, United Kingdom",
Product Dev & Advisory for Financial Tech Startup,Mobile App Development,Confidential,Jan. 2017 - Ongoing,"Netguru took over an iOS/Android app development project, using only the designs created by aprevious vendor. They focus on efficiency and security while also supporting project management and QA.",None,Co-Founder,Financial Technology,1-10 Employees,"Frankfurt, Germany",
Ruby Development for Mom Networking Platform,Web Development,Confidential,Mar. 2015 - Ongoing,"Netguru established the client's online presence, from the wireframes and platform of the site to the UI/UX. They continue to provide the maintenance for the site.",None,"Founder, Mumslink",Internet,1-10 Employees,United Kingdom,
Rails-Developed Platform for Financial Services Startup,Development,Confidential,None,"Netguru assisted a financial advising firmwith Ruby on Rails development for a variety of projects,involving SMS and MMS solutions.",None,"Sr. Vice President of Technology, Financial Advising Firm",Financial Services,1-10 Employees,"Denver, Colorado",
Rails-Developed Human Resources Solution for Startup,Custom Software Development,"$50,000 to $199,999",Nov. 2013 - Ongoing,Netguru provided additional development resources due to limited in-house capabilities. They developed a management platform solution using Ruby on Rails and MongoDB.,None,Founder,Human Resources,1-10 Employees,"London, United Kingdom",
Resourcing Engagement for Financial Services Firm,Custom Software Development,Confidential,2014 - Ongoing,Netguru assisted Premla Capital with Ruby on Rails-based development projects due to limited in-house capabilities.,Tom Brammar,"Managing Partner, Premia Capital",Financial Services,1-10 Employees,"London, United Kingdom",
Web Development for Carnival E-Commerce Platform,Web Development,"$50,000 to $199,999",Sept. 2015 - Ongoing,Netguru improved and upgraded the client's existing platform and database quickly and without disrupting user accessibility.,Angel Stewart,"CEO/Founder, Carnival E-Commerce Platform",Arts/Entertainment,None,Trinidad & Tobago,
