Project_Name,Project_Category,Project_Cost,Project_Length,Project_Summary,Reviewer_Name,Reviewer_Role,Industry_Type,Reviewer_Company_Size,Reviewer_Location
Fortune 50 Global Brand Mobile Application Development,Mobile App Development,"$200,000 to $999,999",Mar. 2012 - Sept. 2013,"Ebbex developed a highly complex mobile (iOS and Android) application that required a tremendous amount of programming, including wireframing and coding.",None,"Founder, Web Marketing Firm",Information Technology and Services,1-10 Employees,"Coos Bay, Oregon"
Startup Mobile Applications,Mobile App Development,"$10,000 to $49,999",None,"Ebbex was hired for a three-pronged mobile app development project that includes initial design, wire-framing, and coding for 3 separate iOS apps. The team has completed 2 and is currently working on the third.",None,"CEO, Mobile App Startup",Internet,1-10 Employees,"Dayton, Ohio"
Marketing Firm iOS Development,Mobile App Development,"$10,000 to $49,999",None,"Ebbex collaborated with an in-house development team to build a high-quality iOS application for a third party. The team assisted with visual design and UI, then provided support for a complex backend.",None,"Co-Founder, Digital Marketing Consulting",Marketing & Advertising,1-10 Employees,"New York City, New York"
Video Enabled Ad Development for Digital Marketing Company,Web Development,Confidential,2012 - 2016,Zazmic evolved a demand-side platform to be mobile friendly by building out the ability to deliver video-enabled ads with real-time bidding. Their work began with planning and structuring as well as execution.,None,"Vice President of Business Development, ",Advertising and Marketing,501-1000 Employees,"New York City, New York"
Web Development for Advertising industry CRM Platform,Web Development,"$50,000 to $199,999",Aug. 2016 - Ongoing,Zazmic evolved an MVP into a functional advertising agency CRM through their services in user UI/UX design and web development. They are also developing an iOS mobile app for the product.,Patrick O'Leary,"Founder and CEO, Boostr",Information Technology and Services,11-50 Employees,"San Francisco, California"
Web Dev for Online Music Platform,Web Development,"$10,000 to $49,999",Jan. 2016 - Jan. 2017,"OnGraph usedexisting wireframes to builda new website, managing all the development and design aspects and addingmusic-playing capabilities. Efforts remain focused on building new features.",John Walker,"Director, Firstdub Media",Music,1-10 Employees,"London, United Kingdom"
Software Dev for Appointment Booking Platform,Web Development,"$10,000 to $49,999",March 2017 - Ongoing,OnGraph is assisting in the redevelopment of an online appointment booking SaaS using Ruby. Developers continue to enhance the softwares user interface and other vital features.,Fawad Tiemoerie,"CEO, SimpelBoeking BV",Information Technology,1-10 Employees,"Amsterdam, Netherlands"
Web Dev & Re-Design for Realty Group,Web Development,"$10,000 to $49,999",Feb. 2015 - Ongoing,OnGraph Technologies offered website design and development services as well as site content and media management. They continue to run site maintenance post-launch.,None,"Managing Director, Realty Group",Real Estate,201-500 Employees,"Noida, India"
Web Dev for Math Education Tool,Web Development,"$10,000 to $49,999",Feb. 2017 - Ongoing,"OnGraph created a customized platform for aneducational site. They handled frontend and backend work, including NodeJS and AngularJS. A cross-platform app is in the works.",None,"Director, Education Platform",Education,None,"Noida, India"
Server & App Dev for Tech Firm,Custom Software Development,"$200,000 to $999,999",2014 - Ongoing,"Using JavaScript,OnGraph Technologies built a web and mobile content distribution system for a software company. They also helped develop a new server and an app.",Rome Viharo,"Founder, Audience Unlock",Internet,1-10 Employees,"Los Angeles, California"
Web Portal Development for Real Estate Firm,Web Development,"$50,000 to $199,999",July 2015 - July 2017,OnGraph developed a web application in Wordpress and custom PHP featuring an admin panel and user website. The platform is in both German and English. They also provide technical consulting.,None,"CEO, Real Estate Platform",Real Estate,1-10 Employees,"Berlin, Germany"
Web Dev for Education Technology Firm,Web Development,Confidential,June 2015 - Ongoing,"OnGraph modernized a website and cloud-based IT infrastructure, including frontend design and RoR backend development. They add new features, incorporate user feedback, and provide ongoing maintenance.",None,"Software Manager, GradReady",Education Management,11-50 Employees,"Melbourne, Australia"
Web Dev for Arts Database,Web Development,Confidential,July 2011 - Ongoing,"OnGraph Technologies assists with the full-scale redesign and relaunch of an art website, executing complex tasks ranging from data migration and database creation to mobile-responsive web layout and SEO.",Thomas Poller,"Editor, artist-info.com",Fine Arts,1-10 Employees,"Frankfurt, Germany"
Web & Mobile App Dev for Music Startup,Mobile App Development,"$10,000 to $49,999",2015 - Ongoing,OnGraph Technologies Corporation manages a website build using Ruby on Rails while also developing iOS and Android solutions to connect event coordinators with local bands.,Neil Cochrane,"Founder & CEO, Gigrep Ltd",Performing Arts,1-10 Employees,"Darlington, United Kingdom"
Mobile App Dev for Education Non-Profit ,Mobile App Development,"Less than $10,000",Approx 9 months,"OnGraph Technologies developed a mobile app for both iOS and Android platforms, making adjustments and fixing issues along the way while also assisting in publishing the apps in their respective stores.",Vicky L.,"Founder and Director, Childlike Heart, Inc.",Education,1-10 Employees,"Philadelphia, Pennsylvania"
iOS & Android Dev for Product Development Firm,Mobile App Development,"$50,000 to $199,999",2014 - Ongoing,Magneto IT Solutions implemented mobile apps for iOS and Android within an existing GUI framework. Theyre currently developing new web services and cloud-based apps.,None,"CEO, RPH Engineering",Electrical/Electronic Manufacturing,1-10 Employees,"Salt Lake City, Utah"
Web Dev & Digital Marketing for Tech-Enabled Interior Design Company,Web Development,"$10,000 to $49,999",Aug. 2017 - Ongoing,"Magneto IT Solutions provides web development and digital marketing services. Projects focus on improving: SEO, SEM, and backend coding. eCommerce and user portal features are in progress.",None,"CEO, Tech-Enabled Interior Design Company",Design,11-50 Employees,New York City Metro Area
Mobile & Web App Dev for Financial Trading Platform,Mobile App Development,"$10,000 to $49,999",May 2017 - Ongoing,Magneto develops mobile apps and a web application to facilitate stock trading. The solutions log trades and send push notifications as well as gathering and analyzing market data.,Markus Heitkoetter,"CEO, Rockwell Trading Services, LLC",Financial Services,11-50 Employees,"Austin, Texas"
PhP Web Dev for IT Outsourcing Company,Web Development,"$50,000 to $199,999",Feb. 2013 - Ongoing,"Magneto IT Solutions built a PHP website for an outsourcing company, taking over the project from a previous vendor. The solution included eCommerce functions and integration with a complex database.",None,"CEO, IT Outsourcing Company",Computer Software,11-50 Employees,Florida
Dev Support for Interactive Design Company,Development,"$200,000 to $999,999",Jan. 2009 - Ongoing,Magneto IT Solutions provides ongoing staff augmentation for a design firm. Their developers offer backend support through coding and website development.,None,"Owner, Interactive Design Company",Design,11-50 Employees,Nevada
iOS and Android Development for Event Platform,Mobile App Development,"$10,000 to $49,999",June. - Sept. 2016,"Magneto designed, developed, and launchedan event planning app for iOS and Android. The app included many complex features, such as mapping and chat.",Evelyne Dubois,"Managing Director, KonnectApp",Business Services,1-10 Employees,"Dallas, Texas"
Mobile App Dev. for Home Services Platform,Mobile App Development,"$10,000 to $49,999",Feb. 2016  Aug. 2016,Magneto developed a website and Android app for on-demand home services. The team synthesized several sources of requirements to design wireframes that captured the desired flow and concept.,None,"Co-founder, Tech Startup",IT Services,1-10 Employees,"New York, New York"
Web Dev for Glamping Company,Web Development,Confidential,Jan. 2015 - Jan. 2017,"Magneto provided backend/frontend developers to build an online booking platform for a glamping company. Their team specializes in PHP, MySQL, and WordPress.",Evert de Feij,"Project Manager, BoerenBed","Leisure, Travel & Tourism",11-50 Employees,"Haarlem, The Netherlands"
B2B e-Commerce Dev for Small Consultancy Firm,Web Development,"$10,000 to $49,999",Sept. - Nov. 2017,"Magneto IT Solutions worked to revise, redesign, and integrate the e-Commerce platform of a small business to work with extant internal systems. They also created a customer-focused dashboard.",Mark Garrett,"CEO, CatManDoes",Management Consulting,1-10 Employees,"Harrogate, United Kingdom"
